MM74C00,Up,Down
1.85728,4.70186,4.70186
1.86217,4.69697,4.70186
1.86706,4.69697,4.69697
1.87195,4.69697,4.69697
1.87683,4.69697,4.69697
1.88172,4.69208,4.69208
1.88661,4.69208,4.69208
1.8915,4.69208,4.69208
1.89638,4.69208,4.69208
1.90127,4.68719,4.69208
1.90616,4.68719,4.68719
1.91105,4.68719,4.68719
1.91593,4.68231,4.68719
1.92082,4.68231,4.68231
1.92571,4.68231,4.68231
1.9306,4.68231,4.68231
1.93548,4.67742,4.68231
1.94037,4.67742,4.67742
1.94526,4.67742,4.67742
1.95015,4.67253,4.67742
1.95503,4.67253,4.67253
1.95992,4.67253,4.67253
1.96481,4.66764,4.67253
1.9697,4.66764,4.67253
1.97458,4.66764,4.66764
1.97947,4.66764,4.66764
1.98436,4.66276,4.66764
1.98925,4.66276,4.66276
1.99413,4.66276,4.66276
1.99902,4.65787,4.65787
2.00391,4.65787,4.65787
2.0088,4.65298,4.65298
2.01369,4.65298,4.65298
2.01857,4.65298,4.65298
2.02346,4.64809,4.64809
2.02835,4.64809,4.64809
2.03324,4.64321,4.64809
2.03812,4.64321,4.64321
2.04301,4.64321,4.64321
2.0479,4.63832,4.63832
2.05279,4.63343,4.63832
2.05767,4.63343,4.63343
2.06256,4.63343,4.63343
2.06745,4.62854,4.62854
2.07234,4.62854,4.62854
2.07722,4.62366,4.62366
2.08211,4.62366,4.62366
2.087,4.61877,4.61877
2.09189,4.61877,4.61877
2.09677,4.61388,4.61388
2.10166,4.61388,4.61388
2.10655,4.60899,4.60899
2.11144,4.60411,4.60899
2.11632,4.60411,4.60411
2.12121,4.59922,4.60411
2.1261,4.59922,4.59922
2.13099,4.59433,4.59433
2.13587,4.59433,4.59433
2.14076,4.58944,4.58944
2.14565,4.58456,4.58944
2.15054,4.58456,4.58456
2.15543,4.57967,4.57967
2.16031,4.57478,4.57478
2.1652,4.56989,4.57478
2.17009,4.56989,4.56989
2.17498,4.565,4.565
2.17986,4.56012,4.56012
2.18475,4.56012,4.56012
2.18964,4.55034,4.55523
2.19453,4.55034,4.55034
2.19941,4.54545,4.54545
2.2043,4.54057,4.54057
2.20919,4.53568,4.53568
2.21408,4.53079,4.53079
2.21896,4.5259,4.53079
2.22385,4.52102,4.5259
2.22874,4.51613,4.52102
2.23363,4.51124,4.51613
2.23851,4.50635,4.51124
2.2434,4.50147,4.50147
2.24829,4.49658,4.49658
2.25318,4.49169,4.49169
2.25806,4.4868,4.4868
2.26295,4.47703,4.48192
2.26784,4.47214,4.47214
2.27273,4.46237,4.46725
2.27761,4.45748,4.45748
2.2825,4.45259,4.45259
2.28739,4.44282,4.4477
2.29228,4.43793,4.43793
2.29717,4.42815,4.42815
2.30205,4.41838,4.42326
2.30694,4.41349,4.41349
2.31183,4.40371,4.40371
2.31672,4.38905,4.39394
2.3216,4.38416,4.38416
2.32649,4.3695,4.3695
2.33138,4.35973,4.35973
2.33627,4.34506,4.34506
2.34115,4.3304,4.33529
2.34604,4.32063,4.32063
2.35093,4.30108,4.30108
2.35582,4.28641,4.28641
2.3607,4.26686,4.27175
2.36559,4.24731,4.24731
2.37048,4.22287,4.22287
2.37537,4.19355,4.19844
2.38025,4.16911,4.174
2.38514,4.14467,4.13978
2.39003,4.10557,4.10557
2.39492,4.07136,4.07136
2.3998,4.03226,4.03226
2.40469,3.99316,3.98827
2.40958,3.94428,3.93939
2.41447,3.89052,3.90029
2.41935,3.84653,3.85142
2.42424,3.79765,3.80254
2.42913,3.74389,3.74878
2.43402,3.69013,3.69013
2.43891,3.63636,3.64614
2.44379,3.5826,3.58749
2.44868,3.52884,3.53372
2.45357,3.47019,3.47019
2.45846,3.41153,3.41642
2.46334,3.35288,3.35777
2.46823,3.28935,3.29423
2.47312,3.23069,3.23558
2.47801,3.17204,3.17204
2.48289,3.1085,3.11828
2.48778,3.05474,3.05963
2.49267,2.9912,2.9912
2.49756,2.93255,2.92766
2.50244,2.86413,2.86901
2.50733,2.80059,2.80547
2.51222,2.73216,2.74194
2.51711,2.6784,2.6784
2.52199,2.60508,2.61486
2.52688,2.54643,2.54643
2.53177,2.48778,2.48778
2.53666,2.41935,2.42424
2.54154,2.35093,2.35582
2.54643,2.29228,2.29228
2.55132,2.21896,2.22385
2.55621,2.15543,2.16031
2.56109,2.09189,2.09189
2.56598,2.02346,2.03324
2.57087,1.95992,1.95992
2.57576,1.8915,1.89638
2.58065,1.82796,1.82796
2.58553,1.75953,1.76442
2.59042,1.69599,1.69599
2.59531,1.62268,1.62757
2.6002,1.55914,1.56403
2.60508,1.48583,1.49071
2.60997,1.42717,1.42717
2.61486,1.35386,1.35875
2.61975,1.28055,1.29032
2.62463,1.2219,1.2219
2.62952,1.15347,1.15347
2.63441,1.08993,1.08504
2.6393,1.02151,1.02151
2.64418,0.957967,0.957967
2.64907,0.889541,0.889541
2.65396,0.826002,0.821114
2.65885,0.757576,0.767351
2.66373,0.698925,0.694037
2.66862,0.630499,0.635386
2.67351,0.576735,0.581623
2.6784,0.522972,0.522972
2.68328,0.483871,0.483871
2.68817,0.449658,0.449658
2.69306,0.420332,0.420332
2.69795,0.400782,0.400782
2.70283,0.386119,0.386119
2.70772,0.366569,0.366569
2.71261,0.347019,0.351906
2.7175,0.337243,0.337243
2.72239,0.322581,0.327468
2.72727,0.312805,0.312805
2.73216,0.30303,0.30303
2.73705,0.293255,0.293255
2.74194,0.28348,0.28348
2.74682,0.273705,0.273705
2.75171,0.26393,0.268817
2.7566,0.259042,0.259042
2.76149,0.249267,0.249267
2.76637,0.244379,0.244379
2.77126,0.239492,0.234604
2.77615,0.229717,0.224829
2.78104,0.219941,0.224829
2.78592,0.219941,0.215054
2.79081,0.210166,0.210166
2.7957,0.205279,0.205279
2.80059,0.200391,0.200391
2.80547,0.195503,0.195503
2.81036,0.190616,0.190616
2.81525,0.180841,0.180841
2.82014,0.180841,0.180841
2.82502,0.175953,0.175953
2.82991,0.171065,0.171065
2.8348,0.166178,0.166178
2.83969,0.16129,0.16129
2.84457,0.156403,0.156403
2.84946,0.151515,0.151515
2.85435,0.146628,0.146628
2.85924,0.146628,0.146628
2.86413,0.14174,0.14174
2.86901,0.136852,0.136852
2.8739,0.131965,0.131965
2.87879,0.131965,0.131965
2.88368,0.127077,0.127077
