K155LA3,Up,Down
2.11144,0.0537634,0.0488759
2.11632,0.0537634,0.0488759
2.12121,0.0537634,0.0537634
2.1261,0.0537634,0.0488759
2.13099,0.0488759,0.0537634
2.13587,0.0488759,0.0537634
2.14076,0.0537634,0.0488759
2.14565,0.0537634,0.0537634
2.15054,0.0488759,0.0488759
2.15543,0.0537634,0.0537634
2.16031,0.0537634,0.0488759
2.1652,0.0537634,0.0537634
2.17009,0.0537634,0.0537634
2.17498,0.0537634,0.0537634
2.17986,0.0537634,0.0537634
2.18475,0.0488759,0.0488759
2.18964,0.0537634,0.0488759
2.19453,0.0537634,0.0537634
2.19941,0.0537634,0.0488759
2.2043,0.0537634,0.0537634
2.20919,0.0537634,0.0488759
2.21408,0.0537634,0.0488759
2.21896,0.0537634,0.0488759
2.22385,0.0537634,0.0537634
2.22874,0.0537634,0.0488759
2.23363,0.0537634,0.0537634
2.23851,0.0537634,0.0537634
2.2434,0.0537634,0.0488759
2.24829,0.0537634,0.0488759
2.25318,0.0537634,0.0537634
2.25806,0.0537634,0.0537634
2.26295,0.0537634,0.0488759
2.26784,0.0537634,0.0537634
2.27273,0.0537634,0.0537634
2.27761,0.0537634,0.0537634
2.2825,0.0537634,0.0537634
2.28739,0.0537634,0.0537634
2.29228,0.0537634,0.0488759
2.29717,0.0537634,0.0537634
2.30205,0.0488759,0.0488759
2.30694,0.0537634,0.0537634
2.31183,0.0537634,0.0488759
2.31672,0.0537634,0.0488759
2.3216,0.0537634,0.0537634
2.32649,0.0537634,0.0537634
2.33138,0.0537634,0.0537634
2.33627,0.0537634,0.0537634
2.34115,0.0537634,0.0537634
2.34604,0.0537634,0.0537634
2.35093,0.0537634,0.0488759
2.35582,0.0537634,0.0537634
2.3607,0.0537634,0.0537634
2.36559,0.0537634,0.0488759
2.37048,0.0537634,0.0488759
2.37537,0.0537634,0.0488759
2.38025,0.0537634,0.0537634
2.38514,0.0537634,0.0537634
2.39003,0.0537634,0.0488759
2.39492,0.0537634,0.0537634
2.3998,0.0537634,0.0488759
2.40469,0.0537634,0.0537634
2.40958,0.0537634,0.0537634
2.41447,0.0537634,0.0488759
2.41935,0.0537634,0.0488759
2.42424,0.0537634,0.0537634
2.42913,0.0537634,0.0488759
2.43402,0.0537634,0.0537634
2.43891,0.0537634,0.0537634
2.44379,0.0537634,0.0488759
2.44868,0.0537634,0.0537634
2.45357,0.0537634,0.0537634
2.45846,0.0537634,0.0537634
2.46334,0.0537634,0.0488759
2.46823,0.0537634,0.0537634
2.47312,0.0537634,0.0537634
2.47801,0.0537634,0.0537634
2.48289,0.0537634,0.0488759
2.48778,0.0488759,0.0488759
2.49267,0.0537634,0.0488759
2.49756,0.0537634,0.0488759
2.50244,0.0537634,0.0488759
2.50733,0.0537634,0.0488759
2.51222,0.0537634,0.0488759
2.51711,0.0488759,0.0537634
2.52199,0.0537634,0.0537634
2.52688,0.0537634,0.0488759
2.53177,0.0488759,0.0488759
2.53666,0.0537634,0.0488759
2.54154,0.0537634,0.0488759
2.54643,0.0537634,0.0537634
2.55132,0.0537634,0.0537634
2.55621,0.0537634,0.0537634
2.56109,0.0537634,0.0537634
2.56598,0.0537634,0.0488759
2.57087,0.0537634,0.0488759
2.57576,0.0537634,0.0488759
2.58065,0.0537634,0.0537634
2.58553,0.0537634,0.0537634
2.59042,0.0537634,0.0537634
2.59531,0.0537634,0.0488759
2.6002,0.0537634,0.0488759
2.60508,0.0537634,0.0488759
2.60997,0.0537634,0.0488759
2.61486,0.0537634,0.0488759
2.61975,0.0537634,0.0488759
2.62463,0.0537634,0.0488759
2.62952,0.0537634,0.0488759
2.63441,0.0537634,0.0488759
2.6393,0.0537634,0.0537634
2.64418,0.0537634,0.0537634
2.64907,0.0537634,0.0488759
2.65396,0.0537634,0.0488759
2.65885,0.0537634,0.0488759
2.66373,0.0537634,0.0488759
2.66862,0.0537634,0.0537634
2.67351,0.0537634,0.0537634
2.6784,0.0537634,0.0488759
2.68328,0.0488759,0.0537634
2.68817,0.0537634,0.0537634
2.69306,0.0537634,0.0488759
2.69795,0.0537634,0.0488759
2.70283,0.0537634,0.0537634
2.70772,0.0537634,0.0488759
2.71261,0.0537634,0.0488759
2.7175,0.0537634,0.0488759
2.72239,0.0537634,0.0537634
2.72727,0.0537634,0.0488759
2.73216,0.0537634,0.0537634
2.73705,0.0537634,0.0537634
2.74194,0.0537634,0.0488759
2.74682,0.0537634,0.0537634
2.75171,0.0537634,0.0488759
2.7566,0.0537634,0.0488759
2.76149,0.0537634,0.0537634
2.76637,0.0537634,0.0488759
2.77126,0.0537634,0.0537634
2.77615,0.0488759,0.0537634
2.78104,0.0537634,0.0488759
2.78592,0.0537634,0.0537634
2.79081,0.0488759,0.0537634
2.7957,0.0537634,0.0488759
2.80059,0.0537634,0.0537634
2.80547,0.0537634,0.0488759
2.81036,0.0537634,0.0537634
2.81525,0.0537634,0.0537634
2.82014,0.0537634,0.0488759
2.82502,0.0537634,0.0537634
2.82991,0.0537634,0.0488759
2.8348,0.0537634,0.0537634
2.83969,0.0537634,0.0537634
2.84457,0.0537634,0.0537634
2.84946,0.0537634,0.0488759
2.85435,0.0537634,0.0488759
2.85924,0.0537634,0.0488759
2.86413,0.0537634,0.0537634
2.86901,0.0537634,0.0488759
2.8739,0.0537634,0.0537634
2.87879,0.0537634,0.0488759
2.88368,0.0537634,0.0488759
2.88856,0.0537634,0.0537634
2.89345,0.0537634,0.0537634
2.89834,0.0537634,0.0537634
2.90323,0.0537634,0.0488759
2.90811,0.0537634,0.0537634
2.913,0.0488759,0.0488759
2.91789,0.0537634,0.0488759
2.92278,0.0537634,0.0488759
2.92766,0.0537634,0.0488759
2.93255,0.0488759,0.0488759
2.93744,0.0537634,0.0488759
2.94233,0.0537634,0.0488759
2.94721,0.0537634,0.0488759
2.9521,0.0537634,0.0488759
2.95699,0.0537634,0.0488759
2.96188,0.0537634,0.0488759
2.96676,0.0537634,0.0488759
2.97165,0.0537634,0.0488759
2.97654,0.0537634,0.0537634
2.98143,0.0537634,0.0537634
2.98631,0.0488759,0.0488759
2.9912,0.0537634,0.0488759
2.99609,0.0537634,0.0488759
3.00098,0.0537634,0.0488759
3.00587,0.0537634,0.0488759
3.01075,0.0537634,0.0488759
3.01564,0.0537634,0.0537634
3.02053,0.0537634,0.0537634
3.02542,0.0537634,0.0537634
3.0303,0.0537634,0.0537634
3.03519,0.0537634,0.0488759
3.04008,0.0537634,0.0488759
